combo,results_dir,accuracy,best_model,final_model,error,accuracy_disp
AKMNO,/home/vpopescu/projects/ASVspoof/results/combo_AKMNO,0.951779,/home/vpopescu/projects/ASVspoof/results/combo_AKMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKMNO/final_model.keras,,0.951779
AKMO,/home/vpopescu/projects/ASVspoof/results/combo_AKMO,0.968765,/home/vpopescu/projects/ASVspoof/results/combo_AKMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKMO/final_model.keras,,0.968765
AKN,/home/vpopescu/projects/ASVspoof/results/combo_AKN,0.818065,/home/vpopescu/projects/ASVspoof/results/combo_AKN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKN/final_model.keras,,0.818065
AKNO,/home/vpopescu/projects/ASVspoof/results/combo_AKNO,0.809048,/home/vpopescu/projects/ASVspoof/results/combo_AKNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKNO/final_model.keras,,0.809048
AKO,/home/vpopescu/projects/ASVspoof/results/combo_AKO,0.812027,/home/vpopescu/projects/ASVspoof/results/combo_AKO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AKO/final_model.keras,,0.812027
AL,/home/vpopescu/projects/ASVspoof/results/combo_AL,0.827483,/home/vpopescu/projects/ASVspoof/results/combo_AL/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AL/final_model.keras,,0.827483
ALM,/home/vpopescu/projects/ASVspoof/results/combo_ALM,0.964176,/home/vpopescu/projects/ASVspoof/results/combo_ALM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALM/final_model.keras,,0.964176
ALMN,/home/vpopescu/projects/ASVspoof/results/combo_ALMN,0.968081,/home/vpopescu/projects/ASVspoof/results/combo_ALMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALMN/final_model.keras,,0.968081
ALMNO,/home/vpopescu/projects/ASVspoof/results/combo_ALMNO,0.962929,/home/vpopescu/projects/ASVspoof/results/combo_ALMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALMNO/final_model.keras,,0.962929
ALMO,/home/vpopescu/projects/ASVspoof/results/combo_ALMO,0.954919,/home/vpopescu/projects/ASVspoof/results/combo_ALMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALMO/final_model.keras,,0.954919
ALN,/home/vpopescu/projects/ASVspoof/results/combo_ALN,0.824706,/home/vpopescu/projects/ASVspoof/results/combo_ALN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALN/final_model.keras,,0.824706
ALNO,/home/vpopescu/projects/ASVspoof/results/combo_ALNO,0.81734,/home/vpopescu/projects/ASVspoof/results/combo_ALNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALNO/final_model.keras,,0.81734
ALO,/home/vpopescu/projects/ASVspoof/results/combo_ALO,0.829094,/home/vpopescu/projects/ASVspoof/results/combo_ALO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ALO/final_model.keras,,0.829094
AM,/home/vpopescu/projects/ASVspoof/results/combo_AM,0.963734,/home/vpopescu/projects/ASVspoof/results/combo_AM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AM/final_model.keras,,0.963734
AMN,/home/vpopescu/projects/ASVspoof/results/combo_AMN,0.95673,/home/vpopescu/projects/ASVspoof/results/combo_AMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AMN/final_model.keras,,0.95673
AMNO,/home/vpopescu/projects/ASVspoof/results/combo_AMNO,0.962607,/home/vpopescu/projects/ASVspoof/results/combo_AMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AMNO/final_model.keras,,0.962607
